Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
CG1,6,H,C,HTC4,1,Tank1,1.1,1.1CG1,348,0,348,0,408,0.852941176
CG1,6,H,C,HTC4,2,Tank1,1.1,1.1CG1,345,0,345,0,408,0.845588235
CG1,6,H,C,HTC4,3,Tank1,1.1,1.1CG1,314,23,337,0.066666667,408,0.825980392
CG1,6,H,C,HTC4,4,Tank1,1.1,1.1CG1,24,313,337,0.928783383,408,0.825980392
CG1,6,H,C,HTC4,5,Tank1,1.1,1.1CG1,6,326,332,0.96735905,408,0.81372549
CG1,6,H,S,HTS4,0,Tank1,1.2,1.2CG1,176,0,176,0,176,1
CG1,6,H,S,HTS4,1,Tank1,1.2,1.2CG1,120,0,120,0,176,0.681818182
CG1,6,H,S,HTS4,2,Tank1,1.2,1.2CG1,118,0,118,0,176,0.670454545
CG1,6,H,S,HTS4,3,Tank1,1.2,1.2CG1,107,11,118,0.093220339,176,0.670454545
CG1,6,H,S,HTS4,4,Tank1,1.2,1.2CG1,5,110,115,0.93220339,176,0.653409091
CG1,6,H,S,HTS4,5,Tank1,1.2,1.2CG1,2,112,114,0.973913043,176,0.647727273
CG1,6,H,G,HTG4,0,Tank1,1.3,1.3CG1,454,0,454,0,454,1
CG1,6,H,G,HTG4,1,Tank1,1.3,1.3CG1,327,0,327,0,454,0.720264317
CG1,6,H,G,HTG4,2,Tank1,1.3,1.3CG1,301,6,307,0.018348624,454,0.676211454
CG1,6,H,G,HTG4,3,Tank1,1.3,1.3CG1,154,137,291,0.446254072,454,0.640969163
CG1,6,H,G,HTG4,4,Tank1,1.3,1.3CG1,9,282,291,0.969072165,454,0.640969163
CG1,6,H,G,HTG4,5,Tank1,1.3,1.3CG1,3,288,291,0.989690722,454,0.640969163
CG1,6,H,S,HTS5,0,Tank3,3.1,3.1CG1,489,0,489,0,489,1
CG1,6,H,S,HTS5,1,Tank3,3.1,3.1CG1,291,0,291,0,489,0.595092025
CG1,6,H,S,HTS5,2,Tank3,3.1,3.1CG1,222,1,223,0.003436426,489,0.45603272
CG1,6,H,S,HTS5,3,Tank3,3.1,3.1CG1,154,47,201,0.210762332,489,0.411042945
CG1,6,H,S,HTS5,4,Tank3,3.1,3.1CG1,7,191,198,0.950248756,489,0.404907975
CG1,6,H,S,HTS5,5,Tank3,3.1,3.1CG1,2,185,187,0.934343434,489,0.382413088
CG1,6,H,C,HTC5,0,Tank3,3.2,3.2CG1,256,0,256,0,256,1
CG1,6,H,C,HTC5,1,Tank3,3.2,3.2CG1,108,0,108,0,256,0.421875
CG1,6,H,C,HTC5,2,Tank3,3.2,3.2CG1,98,0,98,0,256,0.3828125
CG1,6,H,C,HTC5,3,Tank3,3.2,3.2CG1,94,4,98,0.040816327,256,0.3828125
CG1,6,H,C,HTC5,4,Tank3,3.2,3.2CG1,35,57,92,0.581632653,256,0.359375
CG1,6,H,C,HTC5,5,Tank3,3.2,3.2CG1,8,80,88,0.869565217,256,0.34375
CG1,6,H,G,HTG5,0,Tank3,3.3,3.3CG1,328,0,328,0,328,1
CG1,6,H,G,HTG5,1,Tank3,3.3,3.3CG1,171,0,171,0,328,0.521341463
CG1,6,H,G,HTG5,2,Tank3,3.3,3.3CG1,121,2,123,0.011695906,328,0.375
CG1,6,H,G,HTG5,3,Tank3,3.3,3.3CG1,86,36,122,0.292682927,328,0.37195122
CG1,6,H,G,HTG5,4,Tank3,3.3,3.3CG1,4,118,122,0.967213115,328,0.37195122
CG1,6,H,G,HTG5,5,Tank3,3.3,3.3CG1,0,116,116,0.950819672,328,0.353658537
CG1,6,H,S,HTS6,0,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
CG1,6,H,S,HTS6,1,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
CG1,6,H,S,HTS6,2,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
CG1,6,H,S,HTS6,3,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
CG1,6,H,S,HTS6,4,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
CG1,6,H,S,HTS6,5,Tank6,6.1,6.1CG1,NA,NA,NA,NA,NA,NA
